term,score
student ai,0.5461
essay constitutes,0.3613
httpswwwnewcastleeduaucurrentstudentsstudyessentialsassessmentandexamsacademicintegrity university,0.327
help documentation,0.3121
class permit,0.3015
conversation refine,0.2809
code conductpolicy,0.2548
authorization generative,0.2543
workflow potential,0.2514
discipline recommended,0.2511
submission avoid,0.2424
circumstance use,0.2349
industryspecific keywords,0.232
citation rule,0.2254
provide bulk,0.2193
creativity awareness,0.2168
msus policy,0.1957
use autocomplete,0.1893
use nonai,0.1851
necessary intext,0.1839
effort define,0.1836
spellcheck grammarcheck,0.1789
review incorporate,0.1754
exception image,0.1646
creating mission,0.1645
limit turnitincom,0.1623
gaigenerated content,0.1613
module session,0.1555
come ask,0.1492
paste résumé,0.1465
tool selfdirected,0.1365
create output,0.1325
work youll,0.1269
unacknowledged quotation,0.1209
related aigenerative,0.1148
material folder,0.0926
disposal paying,0.0709
order complex,0.0639
casebycase basis,0.0638
definition functional,0.063
edit matlab,0.0581
count reflection,0.0561
align uqs,0.047
option transparency,0.0283
flexibly current,0.0256
issue httpslinkspringercomarticlesciteas,0.0094
hdl systemverilog,0.0086
water concern,0.0042
especially liberal,-0.0291
datasets date,-0.0404
