topic_id,term
0,use
0,writing
0,help
0,tool
0,course
0,assignment
0,ask
0,make
0,may
0,work
1,use
1,tool
1,work
1,assignment
1,may
1,used
1,academic
1,policy
1,student
1,chatgpt
2,use
2,tool
2,student
2,writing
2,academic
2,work
2,policy
2,must
2,course
2,generative
3,writing
3,chatgpt
3,technology
3,class
3,instructor
3,expect
3,course
3,work
3,creative
3,process
4,use
4,tool
4,work
4,course
4,assignment
4,chatgpt
4,generative
4,using
4,student
4,academic
5,tool
5,use
5,work
5,generative
5,may
5,course
5,academic
5,chatgpt
5,assignment
5,policy
